dataset,task,model,feature_set,metric,fold,value
bank,classification,logreg,baseline,f1,0,0.28903654485049834
bank,classification,logreg,baseline,f1,1,0.34059725585149314
bank,classification,logreg,baseline,f1,2,0.39814814814814814
bank,classification,logreg,baseline,f1,3,0.34285714285714286
bank,classification,logreg,baseline,f1,4,0.327683615819209
bank,classification,logreg,baseline,roc_auc,0,0.7885711000518894
bank,classification,logreg,baseline,roc_auc,1,0.7852903586254069
bank,classification,logreg,baseline,roc_auc,2,0.8044580522666163
bank,classification,logreg,baseline,roc_auc,3,0.7875806899618327
bank,classification,logreg,baseline,roc_auc,4,0.7919150663329574
bank,classification,random_forest,baseline,accuracy,0,0.8900218499635834
bank,classification,random_forest,baseline,accuracy,1,0.8902646273367322
bank,classification,random_forest,baseline,accuracy,2,0.8947560087399854
bank,classification,random_forest,baseline,accuracy,3,0.894621828335559
bank,classification,random_forest,baseline,accuracy,4,0.8934077940997937
bank,classification,random_forest,baseline,f1,0,0.3547008547008547
bank,classification,random_forest,baseline,f1,1,0.3695955369595537
bank,classification,random_forest,baseline,f1,2,0.41140529531568226
bank,classification,random_forest,baseline,f1,3,0.3817663817663818
bank,classification,random_forest,baseline,f1,4,0.3773049645390071
bank,classification,random_forest,baseline,roc_auc,0,0.7671696630737299
bank,classification,random_forest,baseline,roc_auc,1,0.7726103678239539
bank,classification,random_forest,baseline,roc_auc,2,0.7842165314401623
bank,classification,random_forest,baseline,roc_auc,3,0.7735382334486061
bank,classification,random_forest,baseline,roc_auc,4,0.7821519200466123
bank,classification,xgboost,baseline,accuracy,0,0.8979121145909201
bank,classification,xgboost,baseline,accuracy,1,0.895241563486283
bank,classification,xgboost,baseline,accuracy,2,0.9039815489196407
bank,classification,xgboost,baseline,accuracy,3,0.899720772125774
bank,classification,xgboost,baseline,accuracy,4,0.8989923515843147
bank,classification,xgboost,baseline,f1,0,0.3709798055347794
bank,classification,xgboost,baseline,f1,1,0.36215816703621584
bank,classification,xgboost,baseline,f1,2,0.42888086642599277
bank,classification,xgboost,baseline,f1,3,0.37329286798179057
bank,classification,xgboost,baseline,f1,4,0.36
bank,classification,xgboost,baseline,roc_auc,0,0.793058634841266
bank,classification,xgboost,baseline,roc_auc,1,0.7868830782112364
bank,classification,xgboost,baseline,roc_auc,2,0.8077974639133921
bank,classification,xgboost,baseline,roc_auc,3,0.7967163623260882
bank,classification,xgboost,baseline,roc_auc,4,0.7996153331273206
